game_date,home_team,away_team,winner,predicted_winner,confidence_0,confidence_1
2019-11-27,Pittsburgh Penguins,Vancouver Canucks,1,1,0.4214870817624692,0.5785129182375308
2019-11-27,Washington Capitals,Florida Panthers,1,1,0.4275637583759809,0.5724362416240187
2019-11-27,Columbus Blue Jackets,Philadelphia Flyers,0,1,0.4953733618398436,0.5046266381601563
2019-11-27,Nashville Predators,Vegas Golden Knights,0,1,0.4073707554746269,0.5926292445253729
2019-11-27,Arizona Coyotes,Anaheim Ducks,1,1,0.42858757066248226,0.5714124293375176
2019-11-27,Colorado Avalanche,Edmonton Oilers,1,1,0.440621340764219,0.5593786592357809
2019-11-27,Los Angeles Kings,New York Islanders,1,1,0.4234110487062813,0.5765889512937185
2019-11-27,San Jose Sharks,Winnipeg Jets,0,1,0.4738353029031547,0.5261646970968452
2019-11-28,Montreal Canadiens,New Jersey Devils,0,1,0.39123392377651856,0.6087660762234813
2019-11-29,Boston Bruins,New York Rangers,1,1,0.3060582940994176,0.6939417059005827
2019-11-29,Buffalo Sabres,Toronto Maple Leafs,1,1,0.4964583026769704,0.5035416973230296
2019-11-29,Philadelphia Flyers,Detroit Red Wings,1,1,0.2469956133131765,0.7530043866868235
2019-11-29,Chicago Blackhawks,Colorado Avalanche,0,0,0.5652864775059515,0.43471352249404804
2019-11-29,Minnesota Wild,Ottawa Senators,1,1,0.41845727301170027,0.5815427269882997
2019-11-29,Anaheim Ducks,Winnipeg Jets,0,1,0.49460777702840847,0.5053922229715915
2019-11-29,San Jose Sharks,Los Angeles Kings,1,0,0.5035785432289248,0.49642145677107513
2019-11-29,Washington Capitals,Tampa Bay Lightning,1,1,0.409203520978243,0.5907964790217569
2019-11-29,Vegas Golden Knights,Arizona Coyotes,1,1,0.4614018183002454,0.5385981816997546
2019-11-29,Columbus Blue Jackets,Pittsburgh Penguins,1,0,0.5537646778256109,0.4462353221743887
2019-11-29,Carolina Hurricanes,Nashville Predators,0,1,0.4157729274582499,0.5842270725417495
2019-11-29,Dallas Stars,St Louis Blues,0,1,0.4494168030108555,0.5505831969891449
2019-11-30,New Jersey Devils,New York Rangers,0,1,0.449974498692286,0.5500255013077139
2019-11-30,Montreal Canadiens,Philadelphia Flyers,0,1,0.47016931053830124,0.5298306894616986
2019-11-30,Toronto Maple Leafs,Buffalo Sabres,1,1,0.42852344093305944,0.5714765590669405
2019-11-30,Detroit Red Wings,Washington Capitals,0,0,0.5508145360758848,0.449185463924115
2019-11-30,Tampa Bay Lightning,Carolina Hurricanes,0,0,0.5127686014748593,0.4872313985251409
2019-11-30,Florida Panthers,Nashville Predators,1,0,0.5031901145457914,0.49680988545420846
2019-11-30,New York Islanders,Columbus Blue Jackets,1,1,0.43122545197580947,0.5687745480241906
2019-11-30,Calgary Flames,Ottawa Senators,1,1,0.43096307603913225,0.5690369239608675
2019-11-30,St Louis Blues,Pittsburgh Penguins,1,0,0.5203931658028368,0.47960683419716327
2019-11-30,Arizona Coyotes,San Jose Sharks,0,1,0.45764292555705993,0.5423570744429402
2019-11-30,Colorado Avalanche,Chicago Blackhawks,1,1,0.3665253291967753,0.6334746708032248
2019-11-30,Edmonton Oilers,Vancouver Canucks,0,1,0.4675850578469165,0.5324149421530834
2019-11-30,Los Angeles Kings,Winnipeg Jets,1,1,0.4805944435873225,0.5194055564126777
2019-12-01,Minnesota Wild,Dallas Stars,1,1,0.46782474809477337,0.5321752519052264
2019-12-01,Boston Bruins,Montreal Canadiens,1,1,0.43732063415651373,0.5626793658434861
